,Variable,Wald statistic,p-value
0,Unnamed: 0,3.68699481399043e-16,0.9999999846793806
1,app_category,9.8347911648896e-16,0.9999999749779647
2,size_of_user_base,2845689.371661763,0.0
3,avg_rel_rating,1.426451414977616e-18,0.9999999990470534
4,rel_count,1.0420494445551289e-17,0.9999999974243655
5,rel_freq,1.8692835294244775e-14,0.9999998909118313
6,same_day_rel,1.047978320937194e-14,0.9999999183199094
7,improve_keywords,1.890965405990396e-16,0.9999999890280997
8,bug_keywords,1.1074874579570796e-17,0.9999999973447252
9,emergency_keywords,9.47772269075921e-17,0.9999999922323068
